BeverageId	name	info	imagePath	hasCool	hasHot	remark	Category_id	Shop_id
F79	西米露泰泰鮮奶茶	西米露泰泰鮮奶茶人間極品	TeaTop/西米露泰泰鮮奶茶.png	TRUE	TRUE		CM	F
F80	仙草泰泰鮮奶茶	仙草泰泰鮮奶茶好喝推推	TeaTop/仙草泰泰鮮奶茶.png	TRUE	TRUE		CM	F
G01	日月潭紅茶	日月潭紅茶人間極品	一芳/日月潭紅茶.png	TRUE	TRUE		CB	G
G02	包種綠茶	包種綠茶好喝推推	一芳/包種綠茶.png	TRUE	TRUE		CG	G
G03	松柏嶺青茶	松柏嶺青茶人間極品	一芳/松柏嶺青茶.png	TRUE	TRUE		CR	G
G04	鹿谷烏龍	鹿谷烏龍好喝推推	一芳/鹿谷烏龍.png	TRUE	TRUE		CO	G
G05	一芳水果茶	一芳水果茶人間極品	一芳/一芳水果茶.png	TRUE	TRUE		CF	G
G06	埔里百香綠	埔里百香綠好喝推推	一芳/埔里百香綠.png	TRUE	FALSE		CG	G
G07	金鑽鳳梨綠	金鑽鳳梨綠人間極品	一芳/金鑽鳳梨綠.png	TRUE	TRUE		CG	G
G08	冬瓜檸檬露	冬瓜檸檬露好喝推推	一芳/冬瓜檸檬露.png	TRUE	TRUE		CE	G
G09	九如檸檬綠	九如檸檬綠人間極品	一芳/九如檸檬綠.png	TRUE	TRUE		CG	G
G10	九如檸檬青	九如檸檬青好喝推推	一芳/九如檸檬青.png	TRUE	TRUE		CR	G
G11	宜蘭金桔綠	宜蘭金桔綠人間極品	一芳/宜蘭金桔綠.png	TRUE	TRUE		CG	G
G12	中華愛玉檸檬	中華愛玉檸檬好喝推推	一芳/中華愛玉檸檬.png	TRUE	FALSE		CG	G
G13	信義脆梅綠	信義脆梅綠人間極品	一芳/信義脆梅綠.png	TRUE	TRUE		CG	G
G14	純釀楊桃汁	純釀楊桃汁好喝推推	一芳/純釀楊桃汁.png	TRUE	TRUE		CF	G
G15	金峰洛神檸檬	金峰洛神檸檬人間極品	一芳/金峰洛神檸檬.png	TRUE	TRUE		CX	G
G16	養樂多冰茶	養樂多冰茶好喝推推	一芳/養樂多冰茶.png	TRUE	FALSE		CR	G
G17	養樂多百香	養樂多百香人間極品	一芳/養樂多百香.png	TRUE	FALSE		CF	G
G18	養樂多鳳梨	養樂多鳳梨好喝推推	一芳/養樂多鳳梨.png	TRUE	FALSE		CF	G
G19	粉圓紅茶	粉圓紅茶人間極品	一芳/粉圓紅茶.png	TRUE	TRUE		CB	G
G20	粉圓綠茶	粉圓綠茶好喝推推	一芳/粉圓綠茶.png	TRUE	TRUE		CG	G
G21	紅茶鮮奶	紅茶鮮奶人間極品	一芳/紅茶鮮奶.png	TRUE	TRUE		CB	G
G22	翡翠鮮奶	翡翠鮮奶好喝推推	一芳/翡翠鮮奶.png	TRUE	TRUE		CM	G
G23	烏龍鮮奶	烏龍鮮奶人間極品	一芳/烏龍鮮奶.png	TRUE	TRUE		CO	G
G24	粉圓鮮奶茶	粉圓鮮奶茶好喝推推	一芳/粉圓鮮奶茶.png	TRUE	TRUE		CM	G
