BeverageId,name,info,imagePath,hasCold,hasHot,remark,Category,Shop
H05,極品清茶,極品清茶好喝推推,清心福全/極品清茶.png,t,t, ,CR,H
H06,錫蘭紅茶,錫蘭紅茶人間極品,清心福全/錫蘭紅茶.png,t,t, ,CB,H
H07,嚴選高山茶,嚴選高山茶好喝推推,清心福全/嚴選高山茶.png,t,t, ,CX,H
H08,特選普洱,特選普洱人間極品,清心福全/特選普洱.png,t,t, ,CX,H
H09,優多綠茶,優多綠茶好喝推推,清心福全/優多綠茶.png,t,t, ,CG,H
H10,優多檸檬,優多檸檬人間極品,清心福全/優多檸檬.png,t,t, ,CF,H
H11,優多葡萄柚,優多葡萄柚好喝推推,清心福全/優多葡萄柚.png,t,t, ,CF,H
H12,錫蘭奶紅,錫蘭奶紅人間極品,清心福全/錫蘭奶紅.png,t,t, ,CM,H
H13,特級奶綠,特級奶綠好喝推推,清心福全/特級奶綠.png,t,t, ,CG,H
H14,烏龍奶茶,烏龍奶茶人間極品,清心福全/烏龍奶茶.png,t,t, ,CM,H
H15,珍珠奶茶,珍珠奶茶好喝推推,清心福全/珍珠奶茶.png,t,t, ,CM,H
H16,粉圓奶茶,粉圓奶茶人間極品,清心福全/粉圓奶茶.png,t,t, ,CM,H
H17,仙草凍奶茶,仙草凍奶茶好喝推推,清心福全/仙草凍奶茶.png,t,t, ,CM,H
H18,布丁奶茶,布丁奶茶人間極品,清心福全/布丁奶茶.png,t,t, ,CM,H
H19,椰果奶茶,椰果奶茶好喝推推,清心福全/椰果奶茶.png,t,t, ,CM,H
H20,蜂蜜奶茶,蜂蜜奶茶人間極品,清心福全/蜂蜜奶茶.png,t,t, ,CM,H
H21,冬瓜茶,冬瓜茶好喝推推,清心福全/冬瓜茶.png,t,t, ,CE,H
H22,冬瓜青茶,冬瓜青茶人間極品,清心福全/冬瓜青茶.png,t,t, ,CE,H
H23,冬瓜檸檬,冬瓜檸檬好喝推推,清心福全/冬瓜檸檬.png,t,t, ,CE,H
F74,熟成紅茶,熟成紅茶好喝推推,TeaTop/熟成紅茶.jpg,t,f, ,CB,F
A02,阿薩姆紅茶,阿薩姆紅茶人間極品,50嵐/阿薩姆紅茶.jpg,t,f, ,CB,A
A06,梅果綠,梅果綠人間極品,50嵐/梅果綠.jpg,t,f, ,CG,A
H50,濃情巧克力拿鐵,濃情巧克力拿鐵人間極品,清心福全/濃情巧克力拿鐵.png,t,t, ,CM,H
H24,梅子綠茶,梅子綠茶人間極品,清心福全/梅子綠茶.png,t,t, ,CG,H
H25,紅茶豆漿,紅茶豆漿好喝推推,清心福全/紅茶豆漿.png,t,t, ,CB,H
H26,情人茶,情人茶人間極品,清心福全/情人茶.png,t,t, ,CX,H
H27,蜜茶,蜜茶好喝推推,清心福全/蜜茶.png,t,t, ,CX,H
H28,蜂蜜烏龍/綠茶,蜂蜜烏龍/綠茶人間極品,清心福全/蜂蜜烏龍/綠茶.png,t,t, ,CG,H
H29,清心巧克力,清心巧克力好喝推推,清心福全/清心巧克力.png,t,t, ,CX,H
H30,濃情巧克力,濃情巧克力人間極品,清心福全/濃情巧克力.png,t,t, ,CX,H
H31,咖啡奶茶,咖啡奶茶好喝推推,清心福全/咖啡奶茶.png,t,t, ,CM,H
H32,綠豆沙奶茶,綠豆沙奶茶人間極品,清心福全/綠豆沙奶茶.png,t,t, ,CM,H
H33,芋香奶茶,芋香奶茶好喝推推,清心福全/芋香奶茶.png,t,t, ,CM,H
H34,檸檬汁,檸檬汁人間極品,清心福全/檸檬汁.png,t,t, ,CF,H
H35,輕檸四季,輕檸四季好喝推推,清心福全/輕檸四季.png,t,t, ,CX,H
H36,檸檬綠茶/紅茶,檸檬綠茶/紅茶人間極品,清心福全/檸檬綠茶/紅茶.png,t,t, ,CB,H
H37,蜂蜜檸檬,蜂蜜檸檬好喝推推,清心福全/蜂蜜檸檬.png,t,t, ,CF,H
H38,金桔檸檬,金桔檸檬人間極品,清心福全/金桔檸檬.png,t,t, ,CF,H
H39,桔茶,桔茶好喝推推,清心福全/桔茶.png,t,t, ,CX,H
H40,葡萄柚汁,葡萄柚汁人間極品,清心福全/葡萄柚汁.png,t,t, ,CF,H
H41,葡萄柚綠茶,葡萄柚綠茶好喝推推,清心福全/葡萄柚綠茶.png,t,t, ,CG,H
H42,和風抹茶,和風抹茶人間極品,清心福全/和風抹茶.png,t,t, ,CG,H
H43,翡翠抹茶,翡翠抹茶好喝推推,清心福全/翡翠抹茶.png,t,t, ,CG,H
H44,抹茶拿鐵,抹茶拿鐵人間極品,清心福全/抹茶拿鐵.png,t,t, ,CM,H
H45,鮮奶茶,鮮奶茶好喝推推,清心福全/鮮奶茶.png,t,t, ,CM,H
H46,鮮奶冬瓜,鮮奶冬瓜人間極品,清心福全/鮮奶冬瓜.png,t,t, ,CM,H
H47,鮮奶豆漿,鮮奶豆漿好喝推推,清心福全/鮮奶豆漿.png,t,t, ,CM,H
H48,咖啡拿鐵,咖啡拿鐵人間極品,清心福全/咖啡拿鐵.png,t,t, ,CM,H
H49,清心巧克力拿鐵,清心巧克力拿鐵好喝推推,清心福全/清心巧克力拿鐵.png,t,t, ,CM,H
H51,冰淇淋紅茶,冰淇淋紅茶好喝推推,清心福全/冰淇淋紅茶.png,t,t, ,CB,H
H52,冰淇淋抹茶,冰淇淋抹茶人間極品,清心福全/冰淇淋抹茶.png,t,t, ,CG,H
H53,冰淇淋奶茶,冰淇淋奶茶好喝推推,清心福全/冰淇淋奶茶.png,t,t, ,CM,H
C48,蘋果冰茶,蘋果冰茶好喝推推,comebuy/蘋果冰茶.jpg,t,f, ,CF,C
C49,葡萄柚綠茶,葡萄柚綠茶人間極品,comebuy/葡萄柚綠茶.jpg,t,f, ,CG,C
C50,鳳梨冰茶,鳳梨冰茶好喝推推,comebuy/鳳梨冰茶.jpg,t,f, ,CF,C
C51,芭C檸檬綠,芭C檸檬綠人間極品,comebuy/芭C檸檬綠.jpg,t,f, ,CG,C
C52,超桔霸氣飲,超桔霸氣飲好喝推推,comebuy/超桔霸氣飲.jpg,t,t, ,CF,C
C53,蜂蜜蘆薈,蜂蜜蘆薈人間極品,comebuy/蜂蜜蘆薈.jpg,t,f, ,CX,C
C54,金桔檸檬,金桔檸檬好喝推推,comebuy/金桔檸檬.jpg,t,t, ,CF,C
C55,荔枝玉露,荔枝玉露人間極品,comebuy/荔枝玉露.jpg,t,f, ,CX,C
C56,纖美小紫蘇,纖美小紫蘇好喝推推,comebuy/纖美小紫蘇.jpg,t,f, ,CX,C
C57,芭C檸檬多多,芭C檸檬多多人間極品,comebuy/芭C檸檬多多.jpg,t,f, ,CF,C
C58,檸檬愛玉,檸檬愛玉好喝推推,comebuy/檸檬愛玉.jpg,t,f, ,CF,C
C59,百香果冰沙,百香果冰沙人間極品,comebuy/百香果冰沙.jpg,t,f, ,CF,C
C60,七巧歐蕾,七巧歐蕾好喝推推,comebuy/七巧歐蕾.jpg,t,f, ,CX,C
C61,金芒果優酪,金芒果優酪人間極品,comebuy/金芒果優酪.jpg,t,f, ,CF,C
C62,青檸香柚QQ,青檸香柚QQ好喝推推,comebuy/青檸香柚QQ.jpg,t,f, ,CF,C
D01,伯爵紅茶拿鐵,伯爵紅茶拿鐵人間極品,迷客夏/伯爵紅茶拿鐵.jpg,t,t, ,CM,D
D02,珍珠紅茶拿鐵,珍珠紅茶拿鐵好喝推推,迷客夏/珍珠紅茶拿鐵.jpg,t,t, ,CM,D
D03,布丁紅茶拿鐵,布丁紅茶拿鐵人間極品,迷客夏/布丁紅茶拿鐵.jpg,t,t, ,CM,D
D04,仙草凍紅茶拿鐵,仙草凍紅茶拿鐵好喝推推,迷客夏/仙草凍紅茶拿鐵.jpg,t,t, ,CM,D
D05,紅豆紅茶拿鐵,紅豆紅茶拿鐵人間極品,迷客夏/紅豆紅茶拿鐵.jpg,t,t, ,CM,D
D06,茉香綠茶,茉香綠茶好喝推推,迷客夏/茉香綠茶.jpg,t,t, ,CG,D
D07,大正紅茶,大正紅茶人間極品,迷客夏/大正紅茶.jpg,t,t, ,CB,D
D08,英倫伯爵紅茶,英倫伯爵紅茶好喝推推,迷客夏/英倫伯爵紅茶.jpg,t,t, ,CB,D
D09,初露青茶,初露青茶人間極品,迷客夏/初露青茶.jpg,t,t, ,CR,D
D10,高峰烏龍綠,高峰烏龍綠好喝推推,迷客夏/高峰烏龍綠.jpg,t,t, ,CG,D
D11,決明大麥,決明大麥人間極品,迷客夏/決明大麥.jpg,t,t, ,CX,D
D12,青採翠玉,青採翠玉好喝推推,迷客夏/青採翠玉.jpg,t,f, ,CG,D
D13,鹿谷黃金烏龍,鹿谷黃金烏龍人間極品,迷客夏/鹿谷黃金烏龍.jpg,t,f, ,CO,D
D14,小山迎露,小山迎露好喝推推,迷客夏/小山迎露.jpg,t,f, ,CX,D
D15,珍珠鮮奶,珍珠鮮奶人間極品,迷客夏/珍珠鮮奶.jpg,t,t, ,CM,D
D16,手抄黑糖鮮奶,手抄黑糖鮮奶好喝推推,迷客夏/手抄黑糖鮮奶.jpg,t,t, ,CM,D
D17,大甲芋頭鮮奶,大甲芋頭鮮奶人間極品,迷客夏/大甲芋頭鮮奶.jpg,t,t, ,CM,D
D18,草莓鮮奶,草莓鮮奶好喝推推,迷客夏/草莓鮮奶.jpg,t,f, ,CM,D
D19,法芙娜純可可鮮奶,法芙娜純可可鮮奶人間極品,迷客夏/法芙娜純可可鮮奶.jpg,t,t, ,CM,D
C07,金萱茶,金萱茶人間極品,comebuy/金萱茶.jpg,t,t, ,CX,C
D20,冬瓜鮮奶,冬瓜鮮奶好喝推推,迷客夏/冬瓜鮮奶.jpg,t,t, ,CM,D
D21,出雲抹茶鮮奶,出雲抹茶鮮奶人間極品,迷客夏/出雲抹茶鮮奶.jpg,t,t, ,CM,D
D22,布丁鮮奶,布丁鮮奶好喝推推,迷客夏/布丁鮮奶.jpg,t,t, ,CM,D
D23,仙草凍鮮奶,仙草凍鮮奶人間極品,迷客夏/仙草凍鮮奶.jpg,t,t, ,CM,D
